"","1-0","3-0","4-0","5-0","6-0","7-0","8-0","11-0","12-0","13-0","14-0","16-0","17-0","18-0","20-0","1082","1053","1308","1570","1021","2446","1016","1651","1630","2371","1508","2701","1363","2734","2438","2739","2744","2524","2595","2404","2614","2227","2548","2678","2299","3692","2340","2310","2444","2655","2276","2505","2225","2465","2724","2727","2720","2346","2054","2667"
"12-oxoETE",0.552368819,0.192636636,0.183936089,0.109137797,0.127737377,0.382716767,0.027880891,0.325558924,0.107376965,0.196128065,0.68124563,0.134810904,0.337215029,0.138256813,0.245705844,0.047093943,0.199717022,0.023653702,0.051348547,0.137171464,0.09444532,0.115585233,0.245331669,0.321453736,0.117306089,0.12150547,0.27406287,0.134985645,0.171453771,0.080073375,0.177993912,0.114877243,0.035527471,0.072333922,0.039247334,0.310124472,0.155250467,0.013466046,0.303263411,0.030510214,0.009212365,0.113824948,0.185754391,0.044573937,0.179848833,0.125592841,0.407904722,0.138122719,0.252032287,0.645549577,0.212433485,0.193700484,0.16346166,0.081320657,0.083787404
"14(15)-EpETE",0.13266993,0.107746428,0.057788927,0.067271702,0.085594396,0.053849554,0.066333334,0.249961978,0.086997792,0.030094956,0.472201554,0.046416135,0.030354644,0.028549801,0.078922386,0.031763998,0.092319277,0.005843042,0,0.021862047,0.044687756,0.098659854,0.07568973,0.04967349,0.094897746,0.212009382,0.037635798,0.039040474,0.001786655,0.017731347,0.0042853,0.045524059,0.01199596,0.035192646,0.02558613,0.04101058,0.027042316,0.018580849,0.020947065,0.047880228,0.01354053,0.010097108,0.08488073,0.009266022,0.042331888,0.12593806,0.058758064,0.089155822,0.074564734,0.052505014,0.024880497,0.019296345,0.052919813,0.026439881,0.088812791
"17(18)-EpETE",0.041633334,0.068136309,0.041747626,0.010462813,0.045498333,0.039918735,0.011543247,0.056464934,0,0.011732784,0.057886606,0.021393136,0.012592116,0.047639012,0.009023333,0.009112029,0.027563673,0.006034582,0,0.002932882,0.011944951,0.086641418,0.007851527,0.028709556,0.017372714,0.061058448,0.01357564,0.020631429,0.006106011,0.00979878,0.020102696,0.001915175,0.027560705,0,0.014448023,0.025962187,0.012347697,0.01730907,0.007786573,0.007053822,0.004354795,0.005814723,0.039884497,0.010129569,0.016120706,0.028581771,0.118953508,0.023729148,0.007475198,0.025250151,0.012351323,0.008355784,0.030353019,0.023411083,0.025386336
"5-oxoETE",15.87866125,13.86675674,11.72350923,14.01860748,6.543475548,22.41796111,11.87165112,13.40954165,7.522441191,8.229381889,73.07011566,12.42113964,10.06127006,10.97199287,11.77708364,1.729439592,7.193217641,2.019417217,1.574510097,3.689854991,4.041671859,5.193383191,11.99013956,9.924856604,7.937219418,14.5742975,7.030726229,6.559760174,8.127094757,10.60072752,5.613563872,4.159551077,2.310040632,5.401761031,5.948346773,9.543441327,5.652031077,2.067081814,7.411666018,2.648709926,0.082100948,4.855234492,10.08248192,2.592538392,3.994629471,4.489777197,19.20118979,5.933695313,12.91085612,20.72222995,6.178046568,4.942982925,5.652135469,5.410535528,7.943745536
"14(15)-EET",0.834076953,0.481731993,0.36078248,0.458505732,0.232023075,0.415947266,0.258061591,0.332203033,0.081154626,0.383995918,1.129378411,0.473312433,0.320830002,0.291101793,0.185869447,0.073156514,0.066210389,0.047833024,0.050861454,0.07475838,0.024301861,0.063987225,0.143448433,0.161848354,0.046420824,0.166847229,0.244514739,0.177902655,0.091277818,0.081081817,0.061215122,0.117455881,0.022865198,0.083536736,0.079634252,0.217092965,0.05597591,0.063084858,0.185399992,0.065984415,0.005675786,0.092578562,0.093139351,0.089442916,0.145875914,0.097652512,0.34156278,0.180432855,0.138413491,0.421226182,0.244375331,0.219814255,0.136273408,0.157474009,0.086758866
"11(12)-EET",0.469945318,0.114594475,0.06909257,0.155064143,0.12468571,0.103739984,0.040479017,0.116693314,0.005127462,0.111130214,0.369341576,0.039126068,0.084022587,0.052317258,0.079295484,0.022278291,0.020962418,0.009061771,0.015823409,0.013002543,0.038257813,0.001704884,0.051924217,0.041284917,0.063149356,0.141181331,0.013765013,0.027949255,0.031739751,0.031533039,0.055750484,0.013712997,0.047917747,0.004202404,0,0.119284543,0.007106233,0.01153115,0.043111268,0.008539479,0.011878877,0.021467574,0.0438131,0.013094435,0.045886834,0.035769277,0.075218348,0.013057125,0.032467829,0.137643029,0.067955579,0.024678322,0.073594031,0.062183182,0.023674096
"8(9)-EET",0.09054483,0.04033378,0,0.010883118,0.041811033,0.007764602,0.034891858,0.065150688,0.052508115,0.009601879,0.031890896,0.016168181,0.034566568,0.014981727,0.023604204,0.006800075,0.000667282,0,0.005895572,0.006810877,0.010168946,0.006373491,0.008251076,0.0070685,0,0.037764172,0,0.008016638,0.006678396,0,0,0.008882062,0,0,0.002255248,0,0.000965217,0,0,0,0.007262054,0,0.002128649,0.008792586,0,0.006591601,0.002936136,0.003961309,0,0,0.031292545,0,0.009676409,0.004086098,0.006426655
"5(6)-EET",0,0.016077213,0,0.010140537,0,0,0.011686371,0.009712865,0,0,0,0,0,0,0,0,0,0,0,0,0.0028038,0,0,0,0,0.011079638,0,0,0,0,0,0,0,0,0,0,0.004546066,0,0,0,0,0,0,0.000831738,0,0.004463772,0.013571966,0.005793749,0,0,0,0,0,0,0
"15-HETE",26.46553436,12.20131432,15.67580343,17.70968244,10.37557912,12.12313955,6.836456196,18.38669623,8.894068638,9.567234547,36.74018141,8.186667576,14.1340878,5.857822585,9.199954134,2.890656526,5.4547618,1.776888606,1.72611616,4.05791908,2.22676109,2.883966673,11.55412731,6.416261546,2.765812576,23.27639574,5.378239835,3.437766848,4.397817578,2.037533927,4.861461724,4.76711247,0.853205613,2.567912481,2.185023515,5.617280248,2.744014121,1.050110392,5.028637455,1.696539464,1.118449018,2.323183786,4.885743998,1.291750887,2.394238534,3.793060305,14.98569653,3.637755732,6.675031701,10.92422327,9.229405138,2.286740436,2.908917819,2.176902505,3.300517583
"12-HETE",37.57519367,18.7905544,24.16718957,25.94637713,16.83148594,20.19630924,8.602555983,26.82117164,13.74008361,19.52496243,61.46162636,12.97623085,20.0198895,8.777057568,12.73951018,3.532466145,7.199658677,2.968523029,3.011630959,6.640387652,3.782351509,4.040006528,16.87617476,10.20485852,3.534159755,31.78675376,8.837720561,4.995481754,6.861901873,3.354238496,7.466538842,7.225303601,1.589670934,4.121983985,3.41669365,8.42797423,4.021345281,1.693101646,9.411103721,3.186212267,2.021798691,4.125826882,7.686039231,1.757014743,4.427215846,5.546701735,26.45630294,7.364631986,9.819085664,17.07524528,13.87557681,3.914801968,4.285482179,4.365833137,5.315959199
"5-HETE",860.0717285,338.9975325,661.5550513,637.9986104,340.1115613,569.9190723,488.518355,555.9029262,331.1163612,315.0349632,1501.568603,330.4303542,266.6680412,315.5175565,603.5046163,31.07261048,93.20331369,37.78260222,27.65403555,60.76993027,70.20379631,96.37610386,153.8108211,120.1153431,115.1329559,520.9796992,129.8663129,103.3024285,82.85379051,110.4608897,93.26657475,73.75848247,38.03179228,67.46168772,128.9724999,136.7300551,72.79960834,50.79403438,105.4911446,48.52265111,11.58091811,72.7228044,92.98337816,42.50501857,49.33776338,106.4686473,173.5502255,72.06299886,189.6768237,116.8293575,211.5476482,80.74257704,84.3506001,73.38318909,131.5113486
"20-HETE",0.082382482,0.049727715,0.006486546,0.017687847,0.031991093,0.029108953,0.040952745,0.028572434,0.027648365,0.008649542,0.169507217,0.027302804,0.008102977,0.002767507,0,0.019934885,0.00559938,0.027206308,0.023120848,0.013042731,0.025914909,0.018527693,0.048659177,0.026366047,0.051097471,0.071840957,0.020815285,0.064462592,0.022994868,0.012485588,0.027276079,0.023008673,0.041538138,0.013248487,0.022256615,0.054809219,0.028709073,0.034741035,0.020188456,0.021312773,0.025619804,0.026269164,0.013711128,0.026158103,0.058141778,0.011810643,0.045574915,0.05272189,0.012306272,0.058398659,0.022744075,0.059442283,0.035443179,0.012004613,0.033361849
"11-HETE",403.9817282,166.8086566,263.4281455,279.0108785,163.7962718,213.4785963,72.7477337,284.8990071,157.9259404,189.2653926,547.845052,128.1777038,205.8252571,83.15725041,142.954671,28.8477463,59.00213321,21.31194513,21.02034894,60.5378678,27.8864434,30.71176411,156.9190394,109.3807743,30.28958475,232.7667233,79.92351576,39.9196197,83.91698283,23.7068104,60.88653355,63.54422563,15.11405682,40.83126617,35.33123825,110.5190906,39.08470511,11.962618,86.96968276,22.03532708,9.341611477,34.9839806,75.86890968,15.55380303,41.34919717,60.57213988,283.0302711,69.19549808,90.16540639,194.7874082,151.7613916,35.47909926,45.447523,35.75975415,54.61929519
"16-HETE",2.692251976,0.869513181,1.041842484,1.18353734,2.002440995,1.532302811,0.125517194,2.596679093,0.743273902,0,4.644361746,0.16136705,0.752985251,0.791462606,0.391922688,0.427773579,0.669149237,0.28128908,0.15823703,0.46631074,0.286964519,0.467895281,0.64980729,0.40909204,0.135727265,2.47684483,0.230469625,0.45260306,0.349996799,0.279220021,0.145544408,0.085864006,0.103248303,0.1789313,0.106139018,0.399015207,0.53522904,0.219529291,0.176489167,0.01316241,0.10253893,0.373808301,0.37594037,0.134947357,0.368577359,0.459154527,1.058600667,0.061644273,0,1.606242722,0.131530117,0,0.232312143,0.24941802,0.575108053
"17-HETE",0.334013008,0.293437588,0.113670302,0.129702427,0.114267678,0.147152498,0.046136354,0.130678716,0.064654505,0.070810602,0.153817257,0.113423503,0.055567648,0.117809309,0.062096049,0.037548389,0.066872624,0.015089348,0.002637256,0.047307976,0.041567554,0.085245878,0.233824509,0.026383787,0.03563421,0.426322448,0.019061995,0.037606811,0.044578012,0.023295569,0.039568618,0.024001551,0.014244303,0.054828994,0.043971521,0.026546057,0.021679134,0.048784263,0.027845345,0.018312648,0.020765696,0.004416667,0.034864378,0.043617077,0.06614224,0.083847002,0.042763061,0.06399949,0.049100286,0.138474792,0.073337443,0.042950492,0.034343626,0.032485266,0.100129046
"18-HETE",5.53593263,1.236634813,3.795348275,1.684148491,1.304443412,2.51458053,0.606144183,1.090215712,0.775089651,1.60076809,6.895822542,0.611348555,0.910556689,1.053588539,0.607314561,0.2662684,0.595563088,0.220333125,0.111532732,0.177408753,0.379578394,0.529973682,0.696060469,0.540940056,0.348892329,5.639952322,0.594566226,0.516308276,0.520877921,0.259640204,0.289533385,0.625268425,0.243767423,0.562346229,0.465797763,0.623732907,0.245364729,0.094978883,1.487312933,0.235373675,0.212514136,0.537657855,0.58962771,0.177409738,0.812189937,1.061266823,0.313860913,0.559052352,0.706272695,1.306377202,0.940165341,0.209386804,0.386998649,0.329790806,0.316024086
"9-HETE",42.247172,19.97189657,23.92124087,23.68944788,15.29303142,19.6658158,14.36321319,27.19146403,14.99143281,15.00124739,56.07548414,12.93341933,14.8620113,10.57863954,15.95777683,2.086553922,4.984168263,2.491611825,1.959188004,4.381915167,3.888062116,4.178746637,10.97023275,7.532843662,4.23377512,23.76503286,7.159950957,4.9346774,5.709190592,4.194084205,5.867113771,4.838895674,1.682760067,3.734451254,4.244055401,7.725035385,3.671179653,1.863243781,7.240177358,2.556878393,1.127814365,3.397140388,5.69068908,1.65531239,3.414588028,5.366748481,16.14019071,5.011248863,9.466408576,10.99053041,11.84707065,3.737284085,4.079060038,3.883248272,5.476145799
"8-HETE",58.00282494,26.52785395,33.73027106,38.71510578,24.55040733,27.9242118,12.46603111,41.83533924,21.27215157,27.30449198,79.44134015,17.44977781,26.76461242,11.05277166,18.37804111,4.098380248,7.421045929,3.507960349,3.059305484,7.597610584,4.669551022,4.707708486,16.71428489,11.76461661,4.644833694,39.11783627,11.33851207,5.8420997,8.968132505,4.3153673,9.40122858,8.803031857,2.581359107,5.338613594,4.386710158,10.96988828,4.722606738,1.880464691,11.69923276,3.0860196,2.225194237,4.973613442,8.908176504,2.042489513,5.244641207,6.741417146,31.23813769,9.516593968,12.61597948,21.61772471,19.14665645,4.92846741,5.223331857,5.209118939,7.208515628
"5-HETrE",22.56376566,20.28830324,26.97043267,22.43937305,10.65504708,14.33354833,11.65051738,11.32610593,5.540382383,6.989271095,55.01089403,6.836781819,4.210247524,6.839196591,13.94950774,0.713609993,3.792361683,0.496291039,0.92070034,1.102339869,1.314557318,1.058709954,3.353938066,2.29546332,3.688428148,19.90087618,2.339246117,1.547139698,1.80594892,1.906519321,0.98744155,1.757784627,0.497935756,0.928236869,2.218987999,2.301644001,1.027529047,0.851488412,2.788255104,1.038128226,0.27244474,1.500613397,2.596979339,0.691275345,1.15279227,2.460906636,2.900836206,1.585675677,3.408028745,6.928565435,9.360650308,1.47318892,1.42891886,1.388836145,3.034565298
"8-HETrE",55.62569625,15.76900789,28.12408554,19.67206918,16.38290989,16.33685147,5.835335802,11.69560064,10.54233686,16.98795927,41.98098829,10.53692964,9.530250957,6.620443837,5.425303217,2.801571203,2.835444294,1.975719864,2.291493163,3.524610662,2.74708343,2.124898567,6.459864235,4.535429827,2.142531916,27.78591411,5.375229492,4.482208699,4.854843539,1.833386197,4.793844046,5.423579109,1.529262998,3.870301055,3.567009602,4.269739937,2.108336508,0.778629355,7.482100896,2.20676982,1.085225388,2.696320757,5.122032163,1.462616106,3.571179582,5.687152555,10.41231957,4.094625203,4.598233789,9.859345347,10.10868068,2.316240956,3.210891596,3.283495121,3.538657557
